"facility_id","target","EDV","HCP_COVID_19","IMM_3","OP_18b","OP_18c","OP_22","OP_29","SAFE_USE_OF_OPIOIDS","SEP_1","SEV_SEP_3HR","SEV_SEP_6HR","ed_flow_pc1","prevention_pc1"
"390335",1.1436,2,6,96,141,555,1,100,18,86,92,98,-0.642061174223459,-0.537458174882729
"390335",0.9727,2,6,96,141,555,1,100,18,86,92,98,-0.642061174223459,-0.537458174882729
"390335",1.0629,2,6,96,141,555,1,100,18,86,92,98,-0.642061174223459,-0.537458174882729
"390336",1.0192,2,1.6,33,206,296,1,NA,15,62,77,92,-0.526105344859426,-0.256316615984961
"390336",1.0409,2,1.6,33,206,296,1,NA,15,62,77,92,-0.526105344859426,-0.256316615984961
"390338",0.9564,2,2.4,75,188,328,2,48,22,44,67,71,-0.589260961840813,-1.24816608978906
"390339",1.0212,2,1.3,29,229,401,1,85,19,57,75,93,-1.17896371042202,-0.846123949849404
"410004",0.9129,2,4.4,65,229,520,5,93,12,69,78,87,-2.28371821797257,0.277307411291348
"410004",0.9786,2,4.4,65,229,520,5,93,12,69,78,87,-2.28371821797257,0.277307411291348
"410004",0.9796,2,4.4,65,229,520,5,93,12,69,78,87,-2.28371821797257,0.277307411291348
"410005",0.9673,2,3.2,60,193,460,3,94,13,73,79,91,-1.28763186120652,0.0882890982872851
"410005",0.951,2,3.2,60,193,460,3,94,13,73,79,91,-1.28763186120652,0.0882890982872851
"410005",0.9911,2,3.2,60,193,460,3,94,13,73,79,91,-1.28763186120652,0.0882890982872851
"410006",0.9857,2,5.6,95,192,139,1,89,16,54,77,99,0.199754887088993,-0.262672080773857
"410006",0.9206,2,5.6,95,192,139,1,89,16,54,77,99,0.199754887088993,-0.262672080773857
"410006",0.95,2,5.6,95,192,139,1,89,16,54,77,99,0.199754887088993,-0.262672080773857
"410006",0.9524,2,5.6,95,192,139,1,89,16,54,77,99,0.199754887088993,-0.262672080773857
"410007",1.0317,4,7.1,91,267,283,7,99,18,56,79,94,-3.24940384435812,-0.495076444116319
"410007",0.9457,4,7.1,91,267,283,7,99,18,56,79,94,-3.24940384435812,-0.495076444116319
"410007",1.0127,4,7.1,91,267,283,7,99,18,56,79,94,-3.24940384435812,-0.495076444116319
"410007",0.9721,4,7.1,91,267,283,7,99,18,56,79,94,-3.24940384435812,-0.495076444116319
"410007",0.9346,4,7.1,91,267,283,7,99,18,56,79,94,-3.24940384435812,-0.495076444116319
"410007",1.0687,4,7.1,91,267,283,7,99,18,56,79,94,-3.24940384435812,-0.495076444116319
"410008",1.0284,2,17.7,84,212,403,2,97,16,55,78,94,-1.14853707263023,0.194940617177807
"410008",1.0094,2,17.7,84,212,403,2,97,16,55,78,94,-1.14853707263023,0.194940617177807
"410008",1.0298,2,17.7,84,212,403,2,97,16,55,78,94,-1.14853707263023,0.194940617177807
"410008",0.9905,2,17.7,84,212,403,2,97,16,55,78,94,-1.14853707263023,0.194940617177807
"410008",0.9791,2,17.7,84,212,403,2,97,16,55,78,94,-1.14853707263023,0.194940617177807
"410009",0.91,3,18.2,76,257,546,5,NA,14,57,78,99,-3.21572005170882,0.504970364755317
"410009",0.8987,3,18.2,76,257,546,5,NA,14,57,78,99,-3.21572005170882,0.504970364755317
"410009",0.9817,3,18.2,76,257,546,5,NA,14,57,78,99,-3.21572005170882,0.504970364755317
"410009",1.2048,3,18.2,76,257,546,5,NA,14,57,78,99,-3.21572005170882,0.504970364755317
"410009",1.1604,3,18.2,76,257,546,5,NA,14,57,78,99,-3.21572005170882,0.504970364755317
"410011",1.0515,2,25.8,82,235,322,4,100,11,63,82,91,-1.48749730791481,1.22434891071073
"410011",1.0424,2,25.8,82,235,322,4,100,11,63,82,91,-1.48749730791481,1.22434891071073
"410011",1.0779,2,25.8,82,235,322,4,100,11,63,82,91,-1.48749730791481,1.22434891071073
"410011",1.0668,2,25.8,82,235,322,4,100,11,63,82,91,-1.48749730791481,1.22434891071073
"410012",0.9413,4,5.1,92,328,349,6,82,18,58,78,96,-4.05993116241916,-0.570555243231657
"410012",0.833,4,5.1,92,328,349,6,82,18,58,78,96,-4.05993116241916,-0.570555243231657
"410012",0.9293,4,5.1,92,328,349,6,82,18,58,78,96,-4.05993116241916,-0.570555243231657
"410012",1.1127,4,5.1,92,328,349,6,82,18,58,78,96,-4.05993116241916,-0.570555243231657
"410012",1.0108,4,5.1,92,328,349,6,82,18,58,78,96,-4.05993116241916,-0.570555243231657
